"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"DDA","DENİZ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-12,0634","3,7031","48,8083","60,4259","109,7914","932,3207","-"
"IPB","İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","5,8471","19,2292","39,0574","56,9042","101,0554","1.090,8077","2.084,8739"
"IIH","İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-8,0520","7,5166","35,3902","65,3450","93,1988","1.310,5443","-"
"IHK","İŞ PORTFÖY İŞ'TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-10,0836","10,2644","36,6731","68,7754","92,1063","1.210,5251","-"
"IIE","İSTANBUL PORTFÖY ONDÖRDÜNCÜ SERBEST FON","Serbest Şemsiye Fonu","25,4777","46,6374","58,9079","79,8565","91,9578","-","-"
"TAU","İŞ PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-13,6748","2,0374","36,6966","61,3852","91,1529","1.000,8990","939,4621"
"YZH","TEB PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN)","Hisse Senedi Şemsiye Fonu","-13,8775","1,4654","36,0197","59,2111","88,5308","976,5686","-"
"ICZ","AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-2,3937","-4,2870","-4,2688","48,4097","88,3784","400,9918","-"
"ADP","AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-13,6731","1,4116","35,8879","58,9498","87,9939","992,6124","927,4855"
"TI2","İŞ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-10,4422","9,1513","33,2622","64,3603","87,1553","1.152,0862","1.763,7223"
"YCP","YAPI KREDİ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-13,9274","1,4900","35,1976","58,9729","86,4015","-","-"
"IZB","İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ SERBEST FON","Serbest Şemsiye Fonu","5,9957","20,4035","41,2185","61,8548","86,1620","-","-"
"BST","PARDUS PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-3,7039","8,3801","22,5540","50,5261","85,6200","-","-"
"KYA","KARE PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-8,4864","3,1108","31,8872","66,1064","83,8179","1.041,4531","1.871,8049"
"YHZ","YAPI KREDİ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-2,0231","-1,8259","-1,7718","46,4842","83,1311","402,6874","-"
"LLA","ALLBATROSS PORTFÖY AYDIN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","6,5648","-1,3427","-2,6940","35,3135","82,3540","-","-"
"TTE","İŞ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-1,0778","-1,5228","-7,1579","42,4980","81,4943","505,4992","1.910,3292"
"ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-2,6536","-1,1061","11,2753","25,0599","80,4625","-","-"
"IVY","İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","Karma Şemsiye Fonu","-2,5587","9,8643","11,4846","27,3957","79,0815","-","-"
"IDH","İŞ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-10,5426","3,6566","26,4450","54,9285","79,0549","811,8975","-"
"ZVO","ZİRAAT PORTFÖY ÜÇÜNCÜ SERBEST (TL) FON","Serbest Şemsiye Fonu","3,2024","11,8380","35,0406","6,1428","77,4862","-","-"
"IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-1,5943","4,4930","15,0955","39,4469","76,3086","-","-"
"IJZ","İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","0,9437","7,7895","4,0326","29,3236","76,1113","532,4849","-"
"EID","QİNVEST PORTFÖY HİSSE SENEDİ FONU (HİSSE YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-6,0177","3,3380","19,4113","46,3395","75,1330","942,0956","2.446,0303"
"GZN","GLOBAL MD PORTFÖY BOĞAZİÇİ SERBEST FON","Serbest Şemsiye Fonu","-1,2639","7,5432","23,6976","38,3256","74,9966","1.404,6778","-"
"GL1","AZİMUT PYŞ BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-10,4142","4,8219","23,3810","49,7562","73,0576","837,3332","1.786,6480"
"ZMY","ZİRAAT PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON","Değişken Şemsiye Fonu","-6,3546","3,2341","5,5025","34,9901","72,7751","-","-"
"GSP","AZİMUT PYŞ KAR PAYI ÖDEYEN HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-8,1339","5,9169","26,2470","52,3259","72,7646","685,7489","1.290,4726"
"GAF","INVEO PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-8,6446","2,5797","18,2588","53,1439","71,4887","869,6572","1.401,4427"
"HKM","HEDEF PORTFÖY BAŞAK HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-1,2447","-0,9157","7,6211","39,5832","71,3392","-","-"
"NHY","NEO PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-10,5209","-0,5443","18,1062","48,3550","71,1382","-","-"
"ACD","İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-3,1584","7,8532","27,0836","47,0055","70,9664","658,2935","1.286,1201"
"ASJ","AKTİF PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-9,7854","-3,1845","10,7811","38,7021","70,9103","-","-"
"HEH","HEDEF PORTFÖY ALGO EVEREST İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","5,3620","15,6419","32,9530","42,0028","70,8816","-","-"
"TYH","TEB PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-9,6717","6,4344","28,1079","59,0532","70,5499","1.012,3407","1.815,6029"
"RHS","ROTA PORTFÖY HİSSE SENEDİ (TL) FON (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-8,7511","2,4800","17,5797","43,9447","70,2060","-","-"
"NRC","NEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-7,7402","1,1513","19,5993","42,5559","68,0836","-","-"
"ACC","İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN)","Hisse Senedi Şemsiye Fonu","-7,7138","7,5088","26,6744","55,0038","67,8812","944,6360","1.800,0900"
"IJA","INVEO PORTFÖY ATAK DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,2103","8,3945","23,3396","37,7607","67,5941","-","-"
"AK3","AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-9,8885","7,2441","26,8214","55,9558","66,9387","895,5131","1.405,5395"
"YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","1,7428","9,5875","20,1205","33,2836","66,7173","-","-"
"AAV","ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-10,8033","4,4766","22,5698","53,2038","66,1449","965,2847","1.960,9852"
"ITP","İŞ PORTFÖY TEKNOLOJİ KARMA FON","Karma Şemsiye Fonu","-1,5655","10,8044","24,3586","38,1398","66,0860","398,4008","-"
"DVT","DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-5,4870","2,9633","5,0641","20,9006","66,0258","-","-"
"GBV","GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-2,2768","5,6991","24,6480","38,7847","65,9811","-","-"
"IFN","ICBC TURKEY PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-9,4321","0,8759","24,1002","53,4077","65,2330","-","-"
"TMC","İŞ PORTFÖY TEMA DEĞİŞKEN FON","Değişken Şemsiye Fonu","-0,6705","10,6580","35,9405","41,0799","65,2239","244,0113","323,9581"
"GGK","INVEO PORTFÖY ALTIN FON","Kıymetli Madenler Şemsiye Fonu","5,9926","8,0650","37,3575","37,2162","64,8312","468,1751","-"
"RPD","RE-PIE PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-1,0262","8,3621","23,8575","34,4533","64,7331","503,6427","-"
"ECA","GLOBAL MD PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-2,4059","9,5258","24,5420","40,3680","64,7073","518,9140","930,0394"
"KRF","KARE PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,8532","12,8763","28,4925","44,7699","64,0547","493,1797","774,5574"
"PPB","PHİLLİP PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-14,4787","-1,9087","17,7758","53,6439","63,9586","-","-"
"GTM","GARANTİ PORTFÖY TEMETTÜ ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-8,8391","3,1485","23,8270","51,6794","63,7192","-","-"
"OJT","QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-3,9310","6,7458","12,8959","30,6941","63,6857","405,3679","-"
"IRF","İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-0,6037","7,2226","21,5101","35,5400","63,4451","-","-"
"IJP","İŞ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","Karma Şemsiye Fonu","0,1978","8,4714","23,4786","36,3045","62,9512","313,3042","-"
"KZL","KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","5,6046","8,8833","36,0694","37,2176","62,4181","472,1900","845,1564"
"OKD","OYAK PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-5,4506","3,4145","23,0759","44,7453","62,3983","543,3448","1.027,5447"
"EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","Değişken Şemsiye Fonu","3,8040","9,9133","23,1266","32,5687","62,3705","276,6437","500,9566"
"OBP","OYAK PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-0,3737","6,6899","25,8477","40,5647","61,9812","247,6763","388,0528"
"MKG","AKTİF PORTFÖY ALTIN KATILIM FONU","Kıymetli Madenler Şemsiye Fonu","4,8859","7,4612","34,2890","32,8046","61,9234","472,0042","-"
"AC5","PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON","Serbest Şemsiye Fonu","3,9556","12,2853","26,2741","32,7865","61,8356","-","-"
"IHA","ALLBATROSS PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-8,5622","1,2547","8,8331","33,7015","61,7719","-","-"
"HVU","ALLBATROSS PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-4,0222","4,0394","12,1152","29,1604","61,6169","-","-"
"ICC","ICBC TURKEY PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-1,5586","6,9755","23,3976","39,8691","60,9754","418,5581","642,8589"
"SUB","ÜNLÜ PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-5,1661","7,0897","23,1753","51,3014","60,5558","535,6514","755,6831"
"TTA","İŞ PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","8,2840","10,7358","38,2536","37,2725","60,3451","458,2642","853,1393"
"CVK","INVEO PORTFÖY ÇOKLU VARLIK KATILIM FONU","Katılım Şemsiye Fonu","1,5670","8,2359","19,9233","30,2630","59,9295","-","-"
"AED","ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-7,1614","7,3444","25,8362","44,4837","59,8604","532,8607","1.065,6789"
"YKT","YAPI KREDİ PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","7,1527","8,0703","34,5295","33,8103","59,7165","439,1337","825,4299"
"GBH","GARANTİ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-10,9018","-1,0102","12,7225","47,4816","59,5885","-","-"
